Created as New Dataset,
nm,%T
800.0,100.11
799.0,100.12
798.0,100.13
797.0,100.07
796.0,100.12
795.0,100.13
794.0,100.08
793.0,100.06
792.0,100.09
791.0,100.09
790.0,100.07
789.0,100.06
788.0,100.09
787.0,100.05
786.0,100.08
785.0,100.12
784.0,100.09
783.0,100.03
782.0,100.15
781.0,100.16
780.0,100.06
779.0,100.07
778.0,100.11
777.0,100.08
776.0,100.11
775.0,100.12
774.0,100.13
773.0,100.08
772.0,100.07
771.0,100.08
770.0,100.09
769.0,100.12
768.0,100.11
767.0,100.09
766.0,100.09
765.0,100.07
764.0,100.11
763.0,100.08
762.0,100.04
761.0,100.07
760.0,100.10
759.0,100.08
758.0,100.09
757.0,100.06
756.0,100.07
755.0,100.08
754.0,100.10
753.0,100.08
752.0,100.05
751.0,100.11
750.0,100.09
749.0,100.11
748.0,100.08
747.0,100.06
746.0,100.06
745.0,100.05
744.0,100.10
743.0,100.11
742.0,100.07
741.0,100.03
740.0,100.07
739.0,100.06
738.0,100.08
737.0,100.09
736.0,100.10
735.0,100.09
734.0,100.05
733.0,100.05
732.0,100.06
731.0,100.09
730.0,100.09
729.0,100.10
728.0,100.09
727.0,100.07
726.0,100.08
725.0,100.08
724.0,100.07
723.0,100.08
722.0,100.06
721.0,100.07
720.0,100.06
719.0,100.05
718.0,100.07
717.0,100.09
716.0,100.07
715.0,100.06
714.0,100.09
713.0,100.10
712.0,100.09
711.0,100.08
710.0,100.09
709.0,100.08
708.0,100.08
707.0,100.09
706.0,100.10
705.0,100.12
704.0,100.11
703.0,100.08
702.0,100.05
701.0,100.03
700.0,100.04
699.0,100.06
698.0,100.08
697.0,100.10
696.0,100.09
695.0,100.08
694.0,100.10
693.0,100.09
692.0,100.08
691.0,100.08
690.0,100.07
689.0,100.09
688.0,100.08
687.0,100.07
686.0,100.07
685.0,100.08
684.0,100.08
683.0,100.07
682.0,100.07
681.0,100.06
680.0,100.07
679.0,100.11
678.0,100.10
677.0,100.07
676.0,100.06
675.0,100.08
674.0,100.10
673.0,100.09
672.0,100.08
671.0,100.08
670.0,100.08
669.0,100.08
668.0,100.07
667.0,100.08
666.0,100.08
665.0,100.09
664.0,100.09
663.0,100.07
662.0,100.08
661.0,100.09
660.0,100.08
659.0,100.07
658.0,100.07
657.0,100.06
656.0,100.06
655.0,100.07
654.0,100.09
653.0,100.10
652.0,100.10
651.0,100.09
